observations,y
0,-0.00967031774159851
1,1.2927809148413776
10,0.5424167311326508
11,-0.050092699959798745
12,-0.525601988329557
13,-1.2091456080211627
14,-0.35857615997662673
15,0.9341891956478241
16,0.1053254975246894
17,-0.7594764117263596
18,0.2210313262214837
19,0.32416965637812617
2,-0.2235738728919281
20,-1.315201437836563
21,0.14622812091329132
22,0.08444055858967335
23,-0.7066719993161156
24,0.38597768004519345
25,0.49501419530634594
26,0.8783136465835917
27,1.0093788280652056
28,-1.1748257003403733
29,-1.0074967479363786
3,2.0696134228840317
30,0.3668375159806366
31,0.35033365981281034
32,0.352209216184615
33,2.4105607544650334
34,0.605510125952344
35,1.2412510938274064
36,0.7435586393962107
37,0.6160263201067888
38,-0.2814023426372103
39,0.5011383800314687
4,0.7434587929602353
40,-0.7600906566037701
41,-0.20124665648747492
42,-0.32714412816269395
43,0.08757240243165318
44,1.8517466879129443
45,-1.6970872936984176
46,0.5494649715885199
47,-1.1557634914053847
48,-0.7985561568867655
49,1.0699992040289505
5,-0.6670083829383845
50,0.04471635269463477
51,-1.0170830719380282
52,-1.1179581960464313
53,0.7448005904353965
54,-0.6052262164612205
55,0.11543502640191068
56,-0.05484043589002728
57,-0.48303064423268477
58,1.3016599869857108
59,0.5579798991258584
6,-0.6900047901300237
60,-1.9726997661559593
61,0.11767546153163534
62,-1.004879452140398
63,0.6241392908419484
64,-0.6064482751453906
65,-0.09155586809444287
66,0.40896662974810605
67,1.0123415319509799
68,-1.6815106551955517
69,-0.4602676586737265
7,0.37150401910810055
70,-0.45657533937792366
71,-0.6147384093220172
72,1.6745783417911206
73,0.40630124462378125
74,-1.015018682196814
75,1.0215062549295617
76,2.1272428562763133
77,0.8195116860055355
78,-1.5642467808547174
79,-0.42562557817523833
8,-0.17227446716074676
80,0.7894120657210792
81,-0.7243750436112113
82,0.30531738169736944
83,0.694849036516104
84,-0.9648737796223946
85,-0.03716358323365448
86,-2.513003578507972
87,-1.132675891920747
88,-0.27876665715270815
89,-1.6374877482808974
9,0.9037594870320466
90,1.3204943735873331
91,-1.0396742830833692
92,-0.3994312289445496
93,0.08644159749233675
94,1.2146199803435285
95,-1.2173254347603584
96,1.5678632428481902
97,-0.006579795273929353
98,-1.409101727744558
99,0.30799821674444333
