observations,y
0,-0.09658851600306095
1,-1.008327106306052
10,-0.05676382478360256
11,-0.1622039326790714
12,-0.20448243952673903
13,-0.8726645467421651
14,-0.2122243949992076
15,-0.6832004651180159
16,-0.030690180058435178
17,-0.3527273728434191
18,-0.2653870200928236
19,-0.2029119921766399
2,-0.23845183127794045
20,-0.7905238855793757
21,-0.17646788838738242
22,-0.20700037850657307
23,-0.3189642893668201
24,0.022470521389380785
25,-0.28731045601798444
26,-0.38866910902465274
27,-0.48177160079690684
28,-0.8566452013622485
29,-0.4911294457310613
3,-2.268962141265938
30,-0.182901078582154
31,-0.07837527890684862
32,-0.07859849678933828
33,-2.957438810092256
34,-0.4086549716975265
35,-0.7186501370187406
36,-0.4103094050995619
37,-0.3765680929526206
38,-0.2848703742770587
39,-0.15744847023582792
4,-0.19170167695813356
40,-0.289924315066038
41,-0.2752933626410862
42,-0.1143282787604113
43,-0.17478174150102743
44,-1.7269231031594776
45,-1.6317182166836495
46,-0.14736091910325022
47,-0.7762010880943905
48,-0.2359992520817687
49,-0.7788349962520853
5,-0.35537475762414333
50,-0.12697042520855398
51,-0.7332518535130089
52,-0.5456354287484904
53,-0.21246142473998364
54,-0.3416689661826327
55,-0.013876193285327864
56,0.0444008324953426
57,-0.16154643954361136
58,-0.9014604516244521
59,-0.32054193761479655
6,-0.2963801467913361
60,-2.169975185487284
61,0.06407906933358087
62,-0.4329144784451705
63,-0.21150015895069016
64,-0.3106519987756044
65,-0.12699988045445781
66,-0.0680006801789971
67,-0.4414469936168002
68,-1.3458333826745748
69,-0.07221035416277767
7,-0.06123768032839608
70,-0.11778359615628273
71,-0.41675825655858234
72,-1.5988541591730598
73,-0.01113011116828734
74,-0.5414024017727845
75,-0.7797678862633213
76,-2.4834217490508124
77,-0.34177704868248154
78,-1.4831363334366352
79,-0.28765410029452376
8,-0.1320614400573466
80,-0.35884782156322775
81,-0.2584328577048962
82,-0.05664973196258045
83,-0.4132369009146064
84,-0.45457205045060933
85,-0.1673816844276103
86,-3.2896617038128304
87,-0.6188979507823514
88,-0.04971810189339377
89,-1.2845657102299612
9,-0.3153676796723201
90,-0.8799006716107721
91,-0.5805513290542575
92,-0.3037457660873084
93,-0.11937829417405554
94,-0.8933091728053529
95,-0.904967129112022
96,-1.135723832020972
97,-0.10588109317675534
98,-0.9233585153657363
99,-0.06485554366982071
