centile,observations,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
0.05,512,841.7923612094257,2655.3674833695536,1553.7366538427148,439438.90620906674
0.05,393,755.3405259555751,2519.009992563583,1403.31440899959,404983.0968774684
0.05,513,840.7118609311572,2659.8031354495697,1557.3625904414507,438181.49907338945
0.05,956,666.715192677214,2832.281985578704,1335.6167490462612,439893.18082418933
0.05,363,839.8722017920079,2652.5738359834168,1559.327877703463,435391.22606818855
0.05,1028,574.2987966219648,3111.879427159423,1577.0600691228758,474361.2066762016
0.05,148,543.9491109833886,2772.011697697641,1342.164029308383,427620.3269384394
0.05,495,757.2218617558609,2514.100117480888,1392.9739973218925,403011.925812381
0.05,1019,975.5154788882294,2945.667415619408,936.8197486603981,407234.02696337603
0.05,776,493.33961847984267,2895.6300716021237,1394.7834531846752,416561.86142069864
0.05,809,591.7060141224634,2845.119123704694,1460.7157149206414,524716.0447769632
0.05,439,754.7738628653634,2504.3237249741874,1405.6103434421882,405679.08446048666
0.05,486,840.0469597458539,2658.306711989458,1559.068747284975,436813.4102858134
0.05,765,505.47176201223095,2852.695989188135,1369.5062355801988,410226.57044010866
0.05,62,544.176049424319,2875.760379656146,1117.9064038079453,396548.2412298693
0.05,704,468.1327823293567,3030.6166492379825,1218.0438017987465,385020.92956661753
0.05,145,540.6280121706993,2811.7869392173784,1351.5691203305257,430092.1341050527
0.05,688,520.5628522167158,3324.3072072767345,1629.9074656221399,480762.3965407293
0.05,537,839.8722017920079,2652.5738359834168,1559.327877703463,435391.22606818855
0.05,386,755.3405259555751,2519.009992563583,1403.31440899959,404983.0968774684
0.05,666,609.1912838859052,3241.7142471689895,1518.7431570029953,471680.26690535416
0.05,91,425.6516216792654,3115.5411108540766,1460.9150075745717,442298.38954403705
0.05,966,785.063931248695,3072.9026527743217,1474.0531108808518,485848.32110958046
0.05,33,687.7913311645959,2803.148435210099,1187.0850663774747,370844.50089664233
0.05,1008,868.9234512169737,2751.0383592646376,933.4151832931736,375898.4262808962
0.05,189,634.5321881697134,3001.817389846731,1504.812182742931,466826.17470119544
0.05,1032,617.1539747856871,3130.6784764076365,1578.3747077793428,461612.6408278714
0.05,82,534.1741338606826,2867.685826406938,1154.6480488304119,399464.0481689023
0.05,594,321.8521808337863,3129.91417970254,1338.3840065473992,400418.3176620429
0.05,193,540.6280121706993,2811.7869392173784,1351.5691203305257,430092.1341050527
0.05,843,427.1515120925096,3025.3872461375813,1384.1346299246875,428438.3237835857
0.05,160,636.2318041343598,2980.963784226953,1501.3411469839737,461705.43410156504
0.05,464,840.0469597458539,2658.306711989458,1559.068747284975,436813.4102858134
0.05,602,443.52548560951726,4459.568035571355,1466.0635207450864,439021.8079848982
0.05,293,634.56173320516,3008.177833086626,1504.4822424043903,469735.3733274654
0.05,818,592.5639216041288,2729.389544011605,1415.8305706106976,520610.81964864116
0.05,276,540.7963245188763,2827.9763535939883,1348.8459191534557,431209.02521085617
0.05,163,635.0385321625886,3009.0444407297105,1502.1849029766968,472858.32637883903
0.05,759,595.8415436444609,2425.6881814619587,1254.5075139196022,484448.1866723596
0.05,857,439.99858980296756,3266.1198856937945,1272.854641447126,397584.7597793921
0.05,340,257.82498548358325,3303.048237085237,1418.5501714739323,462034.67960405356
0.05,679,519.6173678847052,3351.4595416973243,1633.669079225212,474039.9463163642
0.05,552,615.1903234392428,2918.922875521119,1421.6251772696505,385915.33018586563
0.05,1007,536.603626557069,2790.589815000432,1136.2601823238053,395475.4452969007
0.05,794,493.38452299375444,2320.4505066022994,1146.364710018206,381490.20761094434
0.05,508,839.8722017920079,2652.5738359834168,1559.327877703463,435391.22606818855
0.05,5,1053.8780806596988,3003.5271128957747,1298.4277908582017,439427.7169256628
0.05,451,754.7738628653634,2504.3237249741874,1405.6103434421882,405679.08446048666
0.05,1068,374.5616392624719,2903.6365125873162,1397.9681111826048,438925.08503978606
0.05,211,540.7963245188763,2827.9763535939883,1348.8459191534557,431209.02521085617
0.05,580,440.8921296587836,3077.1631711071404,1546.7683144960988,482211.08776789915
0.05,0,1022.8036099259729,3011.4926223217285,1332.6345930972295,444288.80086967035
0.05,438,755.1946890362946,2493.486305660448,1404.3834132098298,405660.69419957936
0.05,127,542.2247136537253,2784.8135319949697,1346.8449993965628,428510.7315346843
0.05,837,595.4060908374888,2446.0794270062684,1268.1840448846426,488247.9753280367
0.05,102,366.1328419640313,2838.842670053516,1298.404386650603,406892.11841111863
0.05,329,240.34384666766385,2952.227523330689,1344.0371107571298,435820.1746427171
0.05,543,754.8512074185056,2513.3535709073,1405.3303785363717,405466.2674691963
0.05,1067,374.5616392624719,2903.6365125873162,1397.9681111826048,438925.08503978606
0.05,270,540.7963245188763,2827.9763535939883,1348.8459191534557,431209.02521085617
0.05,772,613.8797999956748,3109.62829723967,1542.020205250279,450285.331131299
0.05,360,756.1578652051953,2519.737891866787,1399.297447524133,404183.0213111285
0.05,974,666.5134779164935,2825.6532828791665,1335.9484554451315,438796.76097649685
0.05,791,590.361100090583,3111.7325802157648,1549.76517883099,464423.90874665044
0.05,1025,896.0747184432261,3353.87649449729,1435.8861214283036,416177.653693035
0.05,1001,508.668909465753,2770.685606033232,1222.3363415418287,404134.4049113789
0.05,301,540.5442432350615,2822.198802289489,1351.2507853042073,430727.40161976515
0.05,902,666.715192677214,2832.281985578704,1335.6167490462612,439893.18082418933
0.05,945,785.063931248695,3072.9026527743217,1474.0531108808518,485848.32110958046
0.05,879,988.1942141538946,2998.869376775464,1287.2818711210375,384268.084620901
0.05,835,595.7257630980032,3106.002845952736,1547.3133124807077,459337.0368806531
0.05,328,240.67942376446516,2946.963511200019,1327.5326521330871,433192.3510643332
0.05,951,666.715192677214,2832.281985578704,1335.6167490462612,439893.18082418933
0.05,369,754.8512074185056,2513.3535709073,1405.3303785363717,405466.2674691963
