observations,centile,WM-hypointensities
719,0.75,2410.712580158567
719,0.95,3463.032421770138
720,0.05,-449.3482287639574
720,0.25,461.8289664227012
720,0.5,1095.1786752152345
720,0.75,1728.5283840077636
720,0.95,2639.705579194424
721,0.05,-104.52022451229345
721,0.25,947.7996170992727
721,0.5,1679.2560986289227
721,0.75,2410.712580158567
721,0.95,3463.032421770138
722,0.05,-616.9485464950935
722,0.25,739.7924411008302
722,0.5,1682.8488673810486
722,0.75,2625.905293661265
722,0.95,3982.646281257189
723,0.05,-543.310062444694
723,0.25,122.86473786351189
723,0.5,585.9158524095541
723,0.75,1048.9669669556017
723,0.95,1715.1417672638026
725,0.05,-449.3482287639574
725,0.25,461.8289664227012
725,0.5,1095.1786752152345
725,0.75,1728.5283840077636
725,0.95,2639.705579194424
726,0.05,-537.215975055627
726,0.25,746.0244187025705
726,0.5,1637.9913533349409
726,0.75,2529.9582879673117
726,0.95,3813.1986817255147
727,0.05,-507.9505006934246
727,0.25,284.4988565103308
727,0.5,835.322090749645
727,0.75,1386.1453249889596
727,0.95,2178.594682192712
728,0.05,-110.25911455929827
728,0.25,869.1874027415741
728,0.5,1549.9904010906303
728,0.75,2230.79339943969
728,0.95,3210.2399167405556
729,0.05,-214.54896124864104
729,0.25,528.6637872626303
729,0.5,1045.2631713638534
729,0.75,1561.862555465077
729,0.95,2305.075303976349
730,0.05,-474.65223910842406
730,0.25,731.4237276075462
730,0.5,1569.754478570578
730,0.75,2408.08522953361
730,0.95,3614.1611962495717
731,0.05,-477.5520173775849
731,0.25,371.03983001045765
731,0.5,960.8871201600182
731,0.75,1550.7344103095827
731,0.95,2399.326257697624
732,0.05,-703.3523405041619
732,0.25,719.3514862578154
732,0.5,1708.2579899956836
732,0.75,2697.16449373355
732,0.95,4119.8683204955305
733,0.05,-429.5457293368363
733,0.25,549.9007879640296
733,0.5,1230.7037863130874
733,0.75,1911.5067846621453
733,0.95,2890.95330196301
734,0.05,-429.5457293368363
734,0.25,549.9007879640296
734,0.5,1230.7037863130874
734,0.75,1911.5067846621453
734,0.95,2890.95330196301
735,0.05,-384.06572572662003
735,0.25,1038.6381010353623
735,0.5,2027.5446047732303
735,0.75,3016.4511085110917
735,0.95,4439.15493527308
737,0.05,-228.80325053249226
737,0.25,472.3003470042945
737,0.5,959.6301020497564
737,0.75,1446.9598570952157
737,0.95,2148.063454632007
740,0.05,-840.4202608734045
740,0.25,647.1601322609956
740,0.5,1681.1616566342461
740,0.75,2715.1631810074996
740,0.95,4202.743574141899
741,0.05,-600.061135142337
741,0.25,740.1804462062346
741,0.5,1671.7683083068284
741,0.75,2603.356170407419
741,0.95,3943.597751755997
884,0.05,212.39964772909366
884,0.25,758.7850458574931
884,0.5,1138.5718037144243
884,0.75,1518.3585615713564
884,0.95,2064.7439596997583
885,0.05,212.39964772909366
885,0.25,758.7850458574931
885,0.5,1138.5718037144243
885,0.75,1518.3585615713564
885,0.95,2064.7439596997583
886,0.05,439.94601924021026
886,0.25,992.3283081268362
886,0.5,1376.2834418336536
886,0.75,1760.2385755404703
886,0.95,2312.6208644270982
889,0.05,531.6862625066342
889,0.25,1078.0716606350359
889,0.5,1457.8584184919687
889,0.75,1837.645176348902
889,0.95,2384.030574477304
890,0.05,531.6862625066342
890,0.25,1078.0716606350359
890,0.5,1457.8584184919687
890,0.75,1837.645176348902
890,0.95,2384.030574477304
891,0.05,372.63707877480203
891,0.25,924.6256559444139
891,0.5,1308.307124767344
891,0.75,1691.988593590275
891,0.95,2243.977170759884
892,0.05,212.39964772909366
892,0.25,758.7850458574931
892,0.5,1138.5718037144243
892,0.75,1518.3585615713564
892,0.95,2064.7439596997583
893,0.05,372.63707877480203
893,0.25,924.6256559444139
893,0.5,1308.307124767344
893,0.75,1691.988593590275
893,0.95,2243.977170759884
894,0.05,212.39964772909366
894,0.25,758.7850458574931
894,0.5,1138.5718037144243
894,0.75,1518.3585615713564
894,0.95,2064.7439596997583
895,0.05,372.63707877480203
895,0.25,924.6256559444139
895,0.5,1308.307124767344
895,0.75,1691.988593590275
895,0.95,2243.977170759884
896,0.05,372.63707877480203
896,0.25,924.6256559444139
896,0.5,1308.307124767344
896,0.75,1691.988593590275
896,0.95,2243.977170759884
898,0.05,372.63707877480203
898,0.25,924.6256559444139
898,0.5,1308.307124767344
898,0.75,1691.988593590275
898,0.95,2243.977170759884
899,0.05,212.39964772909366
899,0.25,758.7850458574931
899,0.5,1138.5718037144243
899,0.75,1518.3585615713564
899,0.95,2064.7439596997583
900,0.05,531.6862625066342
900,0.25,1078.0716606350359
900,0.5,1457.8584184919687
900,0.75,1837.645176348902
900,0.95,2384.030574477304
901,0.05,120.65940446266222
901,0.25,673.0416933492912
901,0.5,1056.996827056109
901,0.75,1440.9519607629265
901,0.95,1993.334249649554
902,0.05,212.39964772909366
902,0.25,758.7850458574931
902,0.5,1138.5718037144243
902,0.75,1518.3585615713564
902,0.95,2064.7439596997583
905,0.05,212.39964772909366
905,0.25,758.7850458574931
905,0.5,1138.5718037144243
905,0.75,1518.3585615713564
905,0.95,2064.7439596997583
909,0.05,372.63707877480203
909,0.25,924.6256559444139
909,0.5,1308.307124767344
909,0.75,1691.988593590275
909,0.95,2243.977170759884
910,0.05,531.6862625066342
910,0.25,1078.0716606350359
910,0.5,1457.8584184919687
910,0.75,1837.645176348902
910,0.95,2384.030574477304
911,0.05,691.9236935523445
911,0.25,1243.9122707219574
911,0.5,1627.5937395448882
911,0.75,2011.2752083678174
911,0.95,2563.2637855374296
912,0.05,372.63707877480203
912,0.25,924.6256559444139
912,0.5,1308.307124767344
912,0.75,1691.988593590275
912,0.95,2243.977170759884
913,0.05,372.63707877480203
913,0.25,924.6256559444139
913,0.5,1308.307124767344
913,0.75,1691.988593590275
913,0.95,2243.977170759884
914,0.05,372.63707877480203
914,0.25,924.6256559444139
914,0.5,1308.307124767344
914,0.75,1691.988593590275
914,0.95,2243.977170759884
916,0.05,531.6862625066342
916,0.25,1078.0716606350359
916,0.5,1457.8584184919687
916,0.75,1837.645176348902
916,0.95,2384.030574477304
917,0.05,372.63707877480203
917,0.25,924.6256559444139
917,0.5,1308.307124767344
917,0.75,1691.988593590275
917,0.95,2243.977170759884
918,0.05,372.63707877480203
918,0.25,924.6256559444139
918,0.5,1308.307124767344
918,0.75,1691.988593590275
918,0.95,2243.977170759884
919,0.05,691.9236935523445
919,0.25,1243.9122707219574
919,0.5,1627.5937395448882
919,0.75,2011.2752083678174
919,0.95,2563.2637855374296
920,0.05,372.63707877480203
920,0.25,924.6256559444139
920,0.5,1308.307124767344
920,0.75,1691.988593590275
920,0.95,2243.977170759884
921,0.05,691.9236935523445
921,0.25,1243.9122707219574
921,0.5,1627.5937395448882
921,0.75,2011.2752083678174
921,0.95,2563.2637855374296
922,0.05,372.63707877480203
922,0.25,924.6256559444139
922,0.5,1308.307124767344
922,0.75,1691.988593590275
922,0.95,2243.977170759884
923,0.05,531.6862625066342
923,0.25,1078.0716606350359
923,0.5,1457.8584184919687
923,0.75,1837.645176348902
923,0.95,2384.030574477304
924,0.05,531.6862625066342
924,0.25,1078.0716606350359
924,0.5,1457.8584184919687
924,0.75,1837.645176348902
924,0.95,2384.030574477304
925,0.05,372.63707877480203
925,0.25,924.6256559444139
925,0.5,1308.307124767344
925,0.75,1691.988593590275
925,0.95,2243.977170759884
926,0.05,691.9236935523445
926,0.25,1243.9122707219574
926,0.5,1627.5937395448882
926,0.75,2011.2752083678174
926,0.95,2563.2637855374296
927,0.05,531.6862625066342
927,0.25,1078.0716606350359
927,0.5,1457.8584184919687
927,0.75,1837.645176348902
927,0.95,2384.030574477304
928,0.05,372.63707877480203
928,0.25,924.6256559444139
928,0.5,1308.307124767344
928,0.75,1691.988593590275
928,0.95,2243.977170759884
929,0.05,212.39964772909366
929,0.25,758.7850458574931
929,0.5,1138.5718037144243
929,0.75,1518.3585615713564
929,0.95,2064.7439596997583
930,0.05,691.9236935523445
930,0.25,1243.9122707219574
930,0.5,1627.5937395448882
930,0.75,2011.2752083678174
930,0.95,2563.2637855374296
932,0.05,372.63707877480203
932,0.25,924.6256559444139
932,0.5,1308.307124767344
932,0.75,1691.988593590275
932,0.95,2243.977170759884
933,0.05,372.63707877480203
933,0.25,924.6256559444139
933,0.5,1308.307124767344
933,0.75,1691.988593590275
933,0.95,2243.977170759884
934,0.05,372.63707877480203
934,0.25,924.6256559444139
934,0.5,1308.307124767344
934,0.75,1691.988593590275
934,0.95,2243.977170759884
935,0.05,691.9236935523445
935,0.25,1243.9122707219574
935,0.5,1627.5937395448882
935,0.75,2011.2752083678174
935,0.95,2563.2637855374296
936,0.05,531.6862625066342
936,0.25,1078.0716606350359
936,0.5,1457.8584184919687
936,0.75,1837.645176348902
936,0.95,2384.030574477304
937,0.05,531.6862625066342
937,0.25,1078.0716606350359
937,0.5,1457.8584184919687
937,0.75,1837.645176348902
937,0.95,2384.030574477304
938,0.05,212.39964772909366
938,0.25,758.7850458574931
938,0.5,1138.5718037144243
938,0.75,1518.3585615713564
938,0.95,2064.7439596997583
939,0.05,212.39964772909366
939,0.25,758.7850458574931
939,0.5,1138.5718037144243
939,0.75,1518.3585615713564
939,0.95,2064.7439596997583
940,0.05,212.39964772909366
940,0.25,758.7850458574931
940,0.5,1138.5718037144243
940,0.75,1518.3585615713564
940,0.95,2064.7439596997583
941,0.05,372.63707877480203
941,0.25,924.6256559444139
941,0.5,1308.307124767344
941,0.75,1691.988593590275
941,0.95,2243.977170759884
942,0.05,212.39964772909366
942,0.25,758.7850458574931
942,0.5,1138.5718037144243
942,0.75,1518.3585615713564
942,0.95,2064.7439596997583
944,0.05,691.9236935523445
944,0.25,1243.9122707219574
944,0.5,1627.5937395448882
944,0.75,2011.2752083678174
944,0.95,2563.2637855374296
945,0.05,531.6862625066342
945,0.25,1078.0716606350359
945,0.5,1457.8584184919687
945,0.75,1837.645176348902
945,0.95,2384.030574477304
946,0.05,372.63707877480203
946,0.25,924.6256559444139
946,0.5,1308.307124767344
946,0.75,1691.988593590275
946,0.95,2243.977170759884
947,0.05,212.39964772909366
947,0.25,758.7850458574931
947,0.5,1138.5718037144243
947,0.75,1518.3585615713564
947,0.95,2064.7439596997583
948,0.05,372.63707877480203
948,0.25,924.6256559444139
948,0.5,1308.307124767344
948,0.75,1691.988593590275
948,0.95,2243.977170759884
949,0.05,372.63707877480203
949,0.25,924.6256559444139
949,0.5,1308.307124767344
949,0.75,1691.988593590275
949,0.95,2243.977170759884
950,0.05,905.8421671925523
950,0.25,1471.591506757172
950,0.5,1864.8379371503443
950,0.75,2258.084367543519
950,0.95,2823.833707108137
952,0.05,372.63707877480203
952,0.25,924.6256559444139
952,0.5,1308.307124767344
952,0.75,1691.988593590275
952,0.95,2243.977170759884
954,0.05,531.6862625066342
954,0.25,1078.0716606350359
954,0.5,1457.8584184919687
954,0.75,1837.645176348902
954,0.95,2384.030574477304
955,0.05,372.63707877480203
955,0.25,924.6256559444139
955,0.5,1308.307124767344
955,0.75,1691.988593590275
955,0.95,2243.977170759884
956,0.05,212.39964772909366
956,0.25,758.7850458574931
956,0.5,1138.5718037144243
956,0.75,1518.3585615713564
956,0.95,2064.7439596997583
958,0.05,691.9236935523445
958,0.25,1243.9122707219574
958,0.5,1627.5937395448882
958,0.75,2011.2752083678174
958,0.95,2563.2637855374296
960,0.05,212.39964772909366
960,0.25,758.7850458574931
960,0.5,1138.5718037144243
960,0.75,1518.3585615713564
960,0.95,2064.7439596997583
961,0.05,372.63707877480203
961,0.25,924.6256559444139
961,0.5,1308.307124767344
