statistic,WM-hypointensities
MACE,0.05932203389830508
MAPE,1.4136797631095381
MSLL,0.19801543444343073
NLL,1.220923098761242
R2,0.12266942348288146
RMSE,0.9366592638292317
Rho,0.30447442296838484
Rho_p,0.0008017488784763842
SMSE,0.8773305765171185
ShapiroW,0.8340002674163094
