centile,observations,WM-hypointensities
0.25,617,903.5839825619721
0.25,1067,496.937183970354
0.25,505,969.9459329444853
0.25,674,900.9753589380705
0.25,304,921.5674272453991
0.25,604,852.5981742309016
0.25,82,697.8176987706388
0.25,1077,503.66433056599953
0.25,101,431.0142453384626
0.25,306,924.3187139003272
0.25,135,772.0524226434715
0.25,817,716.3779537699188
0.25,592,652.9377810857172
0.25,431,969.9459329444853
0.25,289,770.8496299241673
0.25,453,957.6985250443342
0.25,8,1407.1955885572186
0.25,822,725.5765710294719
0.25,10,1377.0624038110614
0.25,875,1314.560320765048
0.25,508,1115.529613017049
0.25,1018,1242.7285916681553
0.25,402,1119.460937546411
0.25,686,651.1356490102578
0.25,291,770.6367457238345
0.25,1032,950.020938752443
0.25,322,759.805014743321
0.25,776,724.4846727236686
0.25,154,753.0778681476752
0.25,681,822.376494762909
0.25,1050,496.937183970354
0.25,211,770.8496299241673
0.25,67,832.9698388525071
0.25,89,424.28709874281503
0.25,519,1122.21222420134
0.25,117,1226.9106660517195
0.25,481,969.9459329444853
0.25,507,965.7789693699189
0.25,814,723.0987063447047
0.25,529,1122.21222420134
0.25,584,768.2462785068473
0.25,831,727.9983592176754
0.25,680,819.6252081079804
0.25,381,968.5302560248483
0.25,386,968.7431402251781
0.25,522,965.7789693699189
0.25,20,1408.7942013357276
0.25,177,767.8854590689077
0.25,159,921.5674272453991
0.25,677,668.9074107867484
0.25,495,968.5302560248483
0.25,325,535.5736575770197
0.25,988,760.9493653876689
0.25,203,917.636102716036
0.25,1004,880.7590685035555
0.25,610,1183.7350538080477
0.25,241,917.636102716036
0.25,61,872.356335741716
0.25,475,961.847644840557
0.25,883,1474.3391451627542
0.25,188,763.9541345395419
0.25,90,464.9041948081466
0.25,138,763.9541345395419
0.25,206,767.8854590689077
0.25,196,753.0778681476752
0.25,784,760.1270705580312
0.25,644,1237.6106807668914
0.25,812,758.663579882463
0.25,796,782.6951743969548
0.25,842,889.0881481409344
0.25,234,924.5315981006565
0.25,630,909.3466190806857
0.25,774,878.550730682379
0.25,772,891.4372866858046
0.25,823,872.7650363004116
0.25,179,924.5315981006565
0.25,3,1413.5676325619656
0.25,389,1122.4251084016691
0.25,281,770.8496299241673
0.25,551,636.4676728413999
0.25,317,770.8496299241673
0.25,414,961.847644840557
0.25,543,965.7789693699189
0.25,454,951.6016688231175
0.25,1035,916.1309892827601
0.25,581,755.6646509041946
0.25,130,924.5315981006565
0.25,532,1115.529613017049
0.25,879,1328.737621311849
0.25,613,767.04348578754
0.25,38,1218.3151063056052
0.25,226,767.8854590689077
0.25,200,767.8854590689077
0.25,791,872.7523327866561
0.25,347,562.4359688987472
0.25,743,1114.631104788981
0.25,1031,950.020938752443
0.25,307,921.5674272453991
0.25,358,951.6016688231175
0.25,152,772.0524226434715
0.25,137,913.4869829198122
0.25,428,1122.21222420134
0.25,411,1119.460937546411
0.25,506,969.9459329444853
0.25,578,750.1649998192047
0.25,655,4956.508762051147
0.25,452,968.7431402251781
0.25,218,770.6367457238345
0.25,312,917.636102716036
0.25,333,341.2745933351973
0.25,1065,651.2494425212752
0.25,180,770.6367457238345
0.25,373,1118.2570885462098
0.25,169,924.5315981006565
0.25,1052,654.6970392250895
0.25,359,969.9459329444853
0.25,753,1528.6882829020979
0.25,272,756.1567057630646
0.25,115,1226.9106660517195
0.25,352,968.7431402251781
0.25,567,944.0910844656252
0.25,1047,503.66433056599953
0.25,662,749.9020143854799
0.25,245,753.0778681476752
0.25,770,902.1046105894768
0.25,480,950.9713784486881
0.25,96,618.5861629846382
0.25,99,604.4619838192049
0.25,670,903.9395297933283
0.25,871,1317.0088680060064
0.25,21,1377.2566725593397
0.25,330,495.5868518861191
0.25,996,868.3859257586449
0.25,69,835.817126754632
0.25,444,968.7431402251781
0.25,443,969.9459329444853
0.25,126,1226.9106660517195
0.25,107,1224.3229632063105
0.25,540,1115.529613017049
0.25,300,772.0524226434715
0.25,760,722.2637730819641
0.25,790,884.4748659252662
0.25,395,1107.7321842405681
0.25,28,2151.698990433425
0.25,687,665.9432399314894
0.25,257,921.5674272453991
0.25,420,952.2019776248069
0.25,95,427.3659363582083
0.25,577,785.4528738875688
0.25,111,1230.8419905810824
0.25,303,763.9541345395419
0.25,1021,1181.659329114775
0.25,572,800.4581854833713
0.25,616,970.7501013365676
0.25,512,1123.627901120976
0.25,850,670.7872040430278
0.25,7,1404.3084655481482
0.25,229,772.0524226434715
0.25,573,806.1136694093985
0.25,832,641.9535731777434
0.25,429,968.7431402251781
0.25,301,767.8854590689077
0.25,114,1220.112286738096
0.25,755,1106.4425583969928
0.25,258,767.8854590689077
0.25,400,968.7431402251781
0.25,134,924.3187139003272
0.25,668,889.246605632228
0.25,1059,496.937183970354
0.25,859,869.201858299517
0.25,237,759.805014743321
0.25,503,1115.529613017049
0.25,285,770.8496299241673
0.25,1019,1396.0935580826826
0.25,523,965.7789693699189
0.25,408,1115.529613017049
0.25,600,913.829958579411
0.25,417,954.0502160640765
0.25,55,1214.7568114006972
0.25,667,892.8949146124833
0.25,123,1280.1342060878903
0.25,631,786.6995031561942
0.25,775,687.7763175697957
0.25,1048,511.7447748915861
0.25,1027,1181.4030863748985
0.25,596,1448.4328561082555
0.25,568,896.6361529678102
0.25,818,774.2150018493105
0.25,586,817.3549847191089
0.25,256,921.5674272453991
0.25,992,875.4438901289866
0.25,406,965.7789693699189
0.25,290,924.5315981006565
0.25,393,968.7431402251781
0.25,244,921.5674272453991
0.25,987,739.9662753059299
0.25,13,1394.4635693736477
0.25,881,1320.657176986263
0.25,547,1122.21222420134
0.25,1070,496.937183970354
0.25,19,1406.4060767852238
0.25,263,770.8496299241673
0.25,466,1122.4251084016691
0.25,266,767.8854590689077
0.25,157,770.8496299241673
0.25,863,820.6986712686737
0.25,387,1111.3804932208252
0.25,542,968.7431402251781
0.25,1016,1194.6926097898743
0.25,162,767.8854590689077
