observations,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
0,-0.2892534717570413,-0.8144886871122677,-3.729448341108836,-1.827183367903709
1,-0.015956651187734466,-1.6184745055701746,-1.0019228726061495,-0.682867688858593
10,-0.09427605215146376,-0.9065584627377211,-0.8023013165946761,-1.087016832967991
100,-0.1721385261492273,-1.6831052209469934,-0.782441769243353,-1.2464787214950805
1001,-0.5112382045157698,-0.9495919904764475,-0.7845311247317642,-1.1767507249645803
1002,0.0760736908914558,-0.40725469726275,-0.909323133447049,-1.1681256970616987
1004,-0.7085201583498953,-1.3287689830436995,-0.814103828926828,-1.1539125941411175
1005,0.024144194331443748,-0.6008302422535308,-0.8033450457316463,-0.6634714141494088
1006,0.05958212038503818,-1.0955989257190069,-0.7841042303686222,-0.9688026046523434
1007,-0.0343460175149455,-0.6137900318743412,-1.0154855711426345,-1.7218680869657728
1008,-1.4751966971137835,-0.6081507356816829,-0.9214534239789048,-0.8137036987279115
1009,-0.42209397528671116,-0.8893773558677222,-0.8158566008267327,-1.3188928653131533
101,0.006494514862865235,-0.2437380986867248,-1.0486326313932564,-0.8278272775647377
1010,-0.8451593706625585,-0.6423627925222831,-1.1994799195950459,-0.6936771267835341
1011,-0.18263669763446166,-1.3021312956702198,-1.221865580918745,-0.6873539446703175
1012,-0.5223015979091113,-2.035009969432894,-0.8034174805816453,-1.354860314075352
1013,-1.5989564573104893,-0.3095460531658815,-0.8511010687617405,-0.9685579094812136
1014,-0.20769316718691422,-5.687741359457263,-0.8547471003094553,-0.6595899896188123
1015,-1.1638621162764835,-0.38822365062225156,-0.9623647672163499,-0.6269496803640928
1016,-0.2237868795363618,-0.8029965108448446,-0.7906765256761059,-0.9689275918035546
1017,0.019433814278415944,-1.802794460188009,-0.8866739775539133,-0.9100826831725303
1018,-2.111372690075363,-1.104565096397648,-5.3366001820627025,-0.720950392179276
1019,-1.4782461154031465,-1.574849895293602,-0.8264660163190923,-1.0413861782274134
102,0.043141076222627674,-0.48458686298478937,-0.7854824284646662,-1.1295735686293271
1022,-0.17113174418137192,-1.3085756244105433,-0.8683257778374123,-0.6614458456142492
1024,-0.7758239011478839,-0.45387403287015743,-0.7652697222648533,-0.6304190139652579
1025,-0.41978591165656637,-1.323979812849579,-1.011206132088341,-0.8128866926817649
1026,-1.0012354169099893,-5.350060231192429,-0.8857651471517279,-1.842323482858785
1028,-1.107001020069944,-1.4002817433744124,-0.8822768809734369,-0.7674894754581754
1029,-0.724817591255679,-1.1951852778518555,-0.9982452190623983,-2.74121023942441
103,-0.5275927455880158,-0.6078758962440063,-1.0890068686913215,-1.194600824239654
1030,-0.10467622935020499,-0.3941368589680429,-1.0093397391937662,-0.6890544252408388
1031,-0.8157985600588186,-0.47311076003757324,-0.797936314845091,-0.6832983522692847
1032,-0.6574248589688308,-0.5015849533095631,-0.8801021780712105,-0.6940669996284966
1034,-0.341582072636305,-1.3087769995244913,-0.8006379518615853,-1.3337060748993832
