statistic,WM-hypointensities
MACE,0.041935483870967766
MAPE,14.285171665179918
MSLL,0.6404767306278134
NLL,0.7784618025768592
R2,0.39059252973449876
RMSE,0.7806455471374324
Rho,0.5467817152223589
Rho_p,3.1307147313706192e-59
SMSE,0.6094074702655012
ShapiroW,0.9090093683095495
