observations,response_var_0,response_var_1
0,-2.072038779106113,-0.6312825021703633
1,-0.6192190654358207,-0.19205221916777537
2,-0.750900520539391,-0.3873128530229088
3,-0.9499250063845632,-0.13730744304850714
4,-0.8347056833530403,-0.39486705812647216
5,-0.654085377121481,-0.43251846375244574
6,-0.6744188896558239,-0.3120239796675253
7,-0.9045600849939976,-1.3873211132805037
8,-0.8221101470306902,-1.5116205422779216
9,-0.6908477076739354,-0.363360422064869
10,-0.8297731102288064,-1.7654909311201241
11,-0.6648722720742101,-1.3565734319609755
12,-1.1704341375683716,-1.3917424396672613
13,-1.2256907850671177,-1.1505042532046204
14,-0.736051386620418,-0.24646790334879676
15,-0.6771116223933082,-0.2743880987104238
16,-4.035150400107251,-3.437170477130411
17,-0.7221782384387962,-1.4478620807116853
18,-1.414059239948069,-0.8223722392495718
19,-0.7709894090676371,-0.80956878418336
20,-0.6729028225914621,-0.7114578139899522
21,-1.0683431881893266,-1.7003526813033525
22,-0.6305609853863287,-0.21066228774625884
23,-0.662478203228497,-0.2410328308237384
24,-0.6472176502459459,-0.11121083352193036
25,-3.5313236384963647,-7.036468729547074
26,-0.6531938117120929,-0.15374534521108454
27,-0.7089569379698197,-0.42041269169948076
28,-0.6083860272468817,-0.04809792576841342
29,-0.6866345712962219,-0.48162675091421214
30,-1.8924117995548593,-0.1289817735373169
31,-0.9218607238243537,-0.3821565038398719
32,-2.2372732337228904,-0.4876987005693204
33,-1.4665580273550978,-0.4596264558829584
34,-1.3528528154513941,-0.52186476420669
35,-0.609849422234793,-0.05401438569038222
36,-2.022212463787372,-0.729022327559401
37,-0.6440440081436648,-1.4449328636405436
38,-0.8377165892027382,-2.9965381285629378
39,-4.351485468352625,-1.3900263030441746
40,-0.8408353135857954,-1.5166828909819854
41,-1.0253504391579877,-1.5144079548527547
42,-1.2852212698630565,-0.22147262977678134
43,-2.2328612376340082,-1.5498026050898264
44,-0.6347284123093327,-0.23958449989321765
45,-0.6667092126666851,-0.7165013059745909
46,-1.0259142598306548,-0.7287864264194363
47,-1.3493301561467994,-1.6142441891582329
48,-0.7000603393013536,-0.5634761697054024
49,-1.0932418003150826,-0.4617972300068289
50,-0.6423944801463531,-0.20329031673376866
51,-1.3325290185138698,-2.824423735820624
52,-0.8447843954103166,-0.4794777777076366
53,-0.82649228967663,-0.2684069179450862
54,-0.748807211154632,-1.030051229045709
55,-0.7692081317473127,-0.2118326326428112
56,-0.7294144695764485,-0.7175699921383684
57,-1.0070293391349432,-0.29202710317571423
58,-1.3729480857561789,-0.34744797657983884
59,-1.7197568557048246,-0.20684883297581125
60,-1.462127352545466,-1.3648288572448075
61,-1.2092598776462413,-0.6921057412002466
62,-0.6246675631415449,-0.4032496050964241
63,-0.6842133198304976,-0.2699362485361371
64,-0.718831193528522,-0.614662062041613
65,-1.0805916274259175,-0.28203500785567176
66,-0.8040949950602199,-0.1941332208617288
67,-0.6868864077390296,-0.308093374169951
68,-1.325558982360629,-8.363058663783407
69,-0.662839862615175,-0.26465119278065835
70,-0.7240807200621795,-0.882502280002955
71,-0.6489081166994289,-0.29474262371875093
72,-0.6803356530732583,-0.17525939420695905
