observations,response_var_0,response_var_1
67,-0.7653310835732811,-0.5250232896088423
68,-1.0931520083272137,-0.5956259521718138
69,-0.8023477473545211,-0.6907800207367094
70,-0.7728501349418391,-0.9257991695204246
71,-0.8231475224301471,-0.2517954264761574
72,-0.7728051974363479,-1.7102154925432245
73,-1.9009313351762864,-0.28250643222095495
74,-0.8646942288382715,-1.2005037146543724
75,-0.8132314349190085,-1.0882087427859115
76,-0.7263955618269017,-0.138245982190804
77,-3.318303340356181,-0.36627219599868155
78,-0.937297065580805,-1.2715074503103245
79,-0.8560447394923668,-0.5014426837622554
80,-0.7732019577167333,-0.49660316623439493
81,-0.8347074309706475,-0.24792059206273206
82,-3.0501837946299624,-0.3121928019667071
83,-0.7199719925721499,-0.42003697974672544
84,-0.7472944797065416,-0.22390944053762488
85,-0.8948170228579526,-13.103734626342169
86,-1.1966687817490154,-1.2431521800478067
87,-0.6214274563240845,-1.1192990475976992
88,-1.070870592831623,-1.1564683215223464
89,-1.1894454468574838,-0.6750886407418907
90,-0.6515901442745891,-0.46293336116091716
91,-1.0709624607456347,-0.564263260240501
92,-0.6567764446122907,-0.17400712918099723
93,-0.712485539782319,-1.4492390912530109
94,-2.1553962307684498,-1.3322050275798265
95,-0.8949698130505367,-0.44849022145026163
96,-0.6153201510753087,-0.5169222344512756
97,-0.6276504437017884,-1.2147593124365932
98,-2.8653630497903726,-0.46167299132345535
99,-1.1555956107864713,-0.2144022158452564
100,-2.234975918201184,-0.3103451857705265
101,-0.8742537916696765,-1.0554616305284916
102,-0.6818184897664775,-0.3742158394000944
103,-2.719557865800188,-0.3568802580375009
104,-2.7601890778990223,-0.23224761747355063
105,-1.782605541010095,-0.4258366423631061
106,-0.6559953955825852,-1.9731776881624077
107,-0.8023950672984832,-1.2877701259704342
108,-0.7671356554913011,-0.3997888801696931
109,-0.6819602588275362,-0.9083094281002758
110,-0.6490417694942462,-0.2869492926383004
111,-1.7150874656209762,-0.17208932977004693
112,-0.6730764891278636,-3.3647919549199985
113,-2.1329321356217292,-1.0297709465761513
114,-0.6704314680915184,-0.49878142221999167
115,-0.7318340131733893,-0.25713095534284786
116,-0.7456954946418477,-0.534472704717772
117,-1.0220642754403277,-0.18894918390806914
118,-1.2074951781615348,-0.3548055850261161
119,-2.239442216206289,-2.4844722839213396
120,-0.7307926972706588,-0.38265614870877496
121,-0.7241588089433975,-0.29066692728811294
122,-1.3008553891971015,-0.3553041589386179
123,-0.7971038789967257,-1.1214550847211322
124,-0.6644653087952792,-0.18123688881733305
125,-0.8347296428084057,-0.24130573185998874
126,-0.6466528522130994,-0.7292103803239952
127,-1.1701738283455723,-0.5894213615515442
128,-0.7460228924247357,-0.601778363169744
129,-0.7946711959150784,-0.1128710714981357
130,-1.4238300393561045,-2.086911545832949
131,-0.7121032870024133,-0.11934394659828079
132,-1.5600434292751089,-1.380127537784752
133,-0.6461530418233339,-0.2642637909091
134,-0.6543733732007786,-0.8755870999813405
135,-0.9055243330759367,-2.595410729524961
136,-0.7668498154466878,-0.5812074806500306
137,-0.7372787484392971,-0.559178017096097
138,-0.6740877602197731,-0.5738017314870782
139,-0.6864964119639085,-1.712150069386821
140,-0.6252718699767355,-0.6680313286606003
141,-1.2027624274033006,-0.8920079492176451
142,-0.7423511415761408,-1.1842739451882571
143,-1.0486490319651627,-0.23762817027237548
144,-1.1922674403568412,-0.2645646586788231
145,-0.9385211303253455,-0.5227579539104764
146,-0.9199802781895291,-0.6160056944838457
147,-1.054524835480846,-0.14223162306781004
148,-0.9611420082115985,-0.28450935492684326
149,-0.6256253788942296,-1.505597232006386
150,-0.7856392739753054,-1.7134794623709015
151,-0.9107911980621153,-1.0825951346843392
152,-0.7765835175039594,-0.28464291756554067
153,-1.9015455992177652,-0.6437263640596343
154,-0.8475420289458061,-1.4541050844261654
155,-0.9502162907190342,-0.22251782228986958
156,-0.7654847746065466,-1.6197339937459896
157,-1.7484671766698727,-0.4234863786828544
158,-0.8024394541263056,-1.595278056736559
159,-0.8416907511906893,-1.1024936616082803
160,-0.6888159056583775,-0.4795712412621762
161,-1.0140642231101862,-1.5460449295348073
162,-1.5643713275747104,-0.4583435924848018
163,-0.6553796318722616,-0.22113151966372602
164,-1.0667855149247834,-0.7025764341392239
165,-0.9047316726031559,-0.20128348881144625
166,-1.4243426835714381,-0.24572324004178406
167,-1.847378352756313,-0.5724553083784948
168,-0.6440338077796349,-0.3195704991254963
169,-2.2174939707298926,-2.777810895212636
170,-2.9832658308284214,-0.7072064115409563
171,-0.7280841844470193,-0.3571082484161705
172,-3.911281719504744,-1.2343510361615964
173,-0.9717635280513613,-0.30312219665066936
174,-0.9908096589115126,-0.43626577122544125
