observations,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
229,-0.6914252857556107,-0.799224718000311,-0.7011847355751566,-0.5717259689371271
143,-0.21204628212070278,-0.6810286295806514,-3.072623502104813,-1.2357140868993166
872,-0.27569159850809094,-0.9128231830227145,-1.649762498336778,-0.858431378433856
176,-0.32738194057798475,-1.414245483838589,-3.572011363752759,-0.5894197099869724
983,-0.3798007768159379,-0.9352382953606804,-1.7954298561313153,-0.8462829973506493
912,-0.41245472943268674,-0.7939612010551421,-1.2179235593422173,-0.6800728820429377
177,-0.3065206658866937,-1.168574296061626,-1.0827248539053764,-0.7942678422227175
573,-1.441892813458397,-1.0042965823224017,-1.1585336863332614,-0.6973147820292325
743,-1.6138699667495011,-1.3638840102238077,-0.8828869430978543,-1.089756766662926
266,-0.32436912806497176,-1.688376243201219,-0.6938516627421157,-1.0243453353290284
40,-2.414871572347801,-1.6286124114203528,-1.1180384353763781,-0.7892891338438084
76,-1.6506330781701928,-0.9893794709007874,-1.5909322264245074,-0.6619658849004625
696,-1.3351153018190893,-1.5375985080830694,-0.7042482791031444,-1.0790473814378896
303,-1.3360511935684027,-1.202319392006694,-0.692591668073317,-0.6697099280377428
498,-0.1638390171034239,-0.8752670996663992,-0.9818658262861317,-0.8912681977731621
415,-0.23288253081541008,-1.2285301228181962,-0.7093763733818491,-0.557156234116843
802,-1.2563978311376847,-0.6978111718178881,-1.9221869991145384,-1.1743793201723696
728,-1.4780035297058893,-1.3696895303241499,-1.4772280563586249,-1.7188347359619287
1015,-0.8901393321012518,-0.8230570939838023,-1.1163607208351811,-0.594105565428097
92,-0.6179165340076349,-0.9898915358670917,-0.881612304841236,-0.6719630195026894
114,-0.5088502427857181,-0.8320540545164099,-1.0254338037671566,-0.6119401319832489
750,-1.8651791334381491,-2.2571271499720993,-0.6233357510409457,-1.004072640640866
929,-0.18146093389166112,-0.6713606824561481,-0.693839538073276,-0.6516702351917824
203,-0.16689166141287945,-1.2152957300960257,-2.1670101177522563,-0.6487687504437519
381,-0.2723772703078236,-0.8736993648460849,-1.5812132860185226,-1.5728773145947474
22,-4.286355333778477,-1.0174187429254096,-0.7874958817351743,-0.7495911213085389
184,-0.22604463197921973,-0.7774000496751602,-0.7067299662000461,-0.5742638079269994
97,-0.20629708042257713,-2.6101497091409653,-0.8408114411909285,-1.1304852315870488
817,-0.3790386638234635,-0.7971115418955272,-0.9588954918455856,-0.6473323593780591
262,-0.497909497183312,-2.415962943061247,-1.5593665211011065,-0.5677215211969405
529,-0.31306343890543126,-0.6167129112737576,-0.7569951832229223,-1.4430111030167478
126,-0.35142675731105616,-0.6913924210650451,-4.776997298029602,-0.5848989937751221
758,-1.2329572720034447,-1.2613676370832423,-1.128375231160293,-1.0974967555933544
1029,-0.36951806726075337,-0.8957301464195947,-0.9387150528251962,-2.8372841184782436
