centile,observations,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
0.05,125,756.3479808740884,2545.9521198437997,1641.7333387127323,457514.73925943545
0.05,119,736.7926980056276,2470.762699396085,1633.5663114757429,462052.7601015598
0.05,579,-537.2242692571799,1194.55278543458,1475.3524142798317,361851.47981955373
0.05,657,-555.5886725749638,1664.337406623311,1339.7691056511183,402719.8150440202
0.05,718,-724.0267771884412,2310.980735985845,1219.7419998750115,367787.59081130836
0.05,267,506.6837079414213,2169.5186978617603,1528.6231352146692,482709.131141876
0.05,706,-741.7550592266216,2446.6454443680877,1205.3518389826681,366362.6569153393
0.05,898,657.730249613581,1272.002213966838,1289.5669115893763,436175.3032946118
0.05,1076,106.35327941137189,790.6328565159502,1339.2121235304962,427739.92275619775
0.05,941,657.730249613581,1272.002213966838,1289.5669115893763,436175.3032946118
0.05,32,-276.03570340509896,4008.596775493297,1215.1781279535994,375369.8010966447
0.05,191,386.68050760788526,1012.7895219868278,1313.0233787331351,420104.61460365384
0.05,558,341.07571834880184,769.7360806211218,1438.73491849952,389137.84262507845
0.05,385,558.6951575917311,962.1080107777252,1353.3123322138827,394018.3491769815
0.05,963,821.8962162965677,2566.835156926718,1521.7422853505548,487523.58983240643
0.05,56,305.6926542995391,865.5262721829286,1270.4953332250934,394302.4834675432
0.05,448,568.0496821342485,953.1216814239297,1352.4744165434977,389618.89340349234
0.05,307,541.4919497483568,2316.6087943005095,1546.0366681646997,475852.35691493785
0.05,429,550.4913345531093,935.6379873057613,1350.7092725502175,396269.7441001705
0.05,110,704.1219759441813,1472.661624063091,1649.9640556819165,428195.93093111215
0.05,530,703.3058414062601,2181.7515332898747,1577.3206787380718,449904.6565569007
0.05,523,558.6951575917311,962.1080107777252,1353.3123322138827,394018.3491769815
0.05,165,377.3259830653634,1021.7758513406143,1313.8612944035194,424504.07037714333
0.05,625,-517.5945626950779,1487.067649613642,1347.6510396003835,403219.7518069347
0.05,991,290.65221675795397,853.0974056947671,1111.979993236885,398886.8184418159
0.05,896,657.730249613581,1272.002213966838,1289.5669115893763,436175.3032946118
0.05,387,732.2156488172416,2247.9546243837895,1584.6497903046773,440967.17994128686
0.05,453,568.0496821342485,953.1216814239297,1352.4744165434977,389618.89340349234
0.05,672,529.7509018031287,2507.66516157334,1551.8860085605588,475135.22616984596
0.05,215,369.122160026743,995.3058278686358,1311.2582347398582,426755.4653003319
0.05,919,821.8962162965677,2566.835156926718,1521.7422853505548,487523.58983240643
0.05,598,539.8353551089599,1695.6730861062097,1557.037375750285,472757.68098571186
0.05,37,796.997495435457,2354.5482844671124,1380.4127836292146,438058.11873332807
0.05,668,541.2285732015894,2466.391383614915,1549.0211797598079,468583.2737566147
0.05,851,253.87202068116153,1282.653798033397,1314.9718070481904,425936.7076987861
0.05,478,550.4913345531093,935.6379873057613,1350.7092725502175,396269.7441001705
0.05,255,377.3259830653634,1021.7758513406143,1313.8612944035194,424504.07037714333
