centile,observations,response_var_0,response_var_1
0.05,622,2.4301445594941553,902.3098905708089
0.05,626,2.4682369336484595,880.5151048891794
0.05,636,2.4614509566438403,893.2323726855777
0.05,638,2.424279853753696,1088.1221926951494
0.05,639,2.5062229845453485,495.03585841105894
0.05,640,2.4715892834604376,873.8342871492666
0.05,644,2.4715892834604376,873.8342871492666
0.05,648,2.5170285331255426,960.2321763904495
0.05,656,2.4879548034372783,1127.1647391366873
0.05,660,2.5634742415098017,845.2386506027062
0.05,665,2.4793725596080236,996.2002053584197
0.05,666,2.4704147687591753,928.4667830903811
0.05,668,2.371181666058,1760.0653389532777
0.05,676,2.408145035523038,1108.38199701949
0.05,689,2.454685526040979,1167.641344506781
0.05,691,2.48662415552742,899.7680733101688
0.05,693,2.3940098589646692,1721.0947056347422
0.05,698,2.4826730127849546,989.5510482496362
0.05,714,2.507427279937645,658.4394576281235
0.05,719,2.4879548034372783,1127.1647391366873
0.05,729,2.4648586017099747,886.978596328768
0.05,742,2.5335633990716286,631.7920453429306
0.05,744,2.4956448593002065,1240.6876057939276
0.05,745,2.5170285331255426,960.2321763904495
0.05,755,2.451211387230285,1173.9711691109028
0.05,756,2.507427279937645,658.4394576281235
0.05,774,2.3448591204727243,1178.4707184146546
0.05,781,2.4270243050095246,1154.9600503453876
0.05,784,2.4912567056476553,1121.0227767902197
0.05,787,2.5071903011421686,898.4151430878944
0.05,788,2.336800031499329,946.5035112908497
0.05,790,2.4410563779310928,1208.4500275936864
0.05,797,2.447695138217867,1180.1092271590921
0.05,798,2.4281323743716863,1082.644779856548
0.05,799,2.4050440880815422,323.64694435948627
0.05,801,2.4956448593002065,1240.6876057939276
0.05,804,2.4747797785939496,261.2454097386342
0.05,811,2.4692539120954495,1088.9223369437366
0.05,814,2.447695138217867,1180.1092271590921
0.05,815,2.4645841309123426,965.2312876221342
0.05,816,2.15975338996672,881.3576677776326
0.05,823,2.4760568403691035,1002.6393430251663
0.05,826,2.4912567056476553,1121.0227767902197
0.05,831,2.3646672744917625,1614.882309680121
0.05,833,2.544234986615856,814.9877610402871
0.05,846,2.324503929823286,1530.796512672489
0.05,849,2.3518135368881286,967.6123444915826
0.05,852,2.458010614650677,899.2838569166433
0.05,856,2.4077696385123954,877.7829799206276
0.05,857,2.3441524865487753,950.1226053564424
0.25,1,2.493111574320968,967.6418043681961
0.25,4,2.513492438138276,1213.9215871893812
0.25,7,2.3741965845478625,994.9629937211164
0.25,8,2.382672504305887,2182.992700163977
0.25,11,2.3934171874168615,981.1311164609428
0.25,14,2.458691117720205,1162.2493500988005
0.25,38,2.389748524832332,1296.0173522113002
0.25,41,2.3464923311815307,1231.03418268265
0.25,43,2.3409664991474717,1236.981716438486
0.25,45,2.5216392733060435,682.833353540315
0.25,48,2.483182667819255,991.7129061510301
0.25,50,2.4621174910346038,1154.6345622103693
0.25,51,2.5181471977962073,1335.172152440875
0.25,52,2.3778995492948427,864.8910681158034
0.25,58,2.4621174910346038,1154.6345622103693
0.25,80,2.4182743428465687,1078.367445078765
0.25,87,2.4801373365701043,1245.8047768556228
0.25,89,2.4976590409500066,1094.8324462771848
0.25,91,2.504255930718019,1152.7184741387287
0.25,93,2.4898050617754697,975.7672600145283
0.25,110,2.4898050617754697,975.7672600145283
0.25,122,2.510116906073573,1221.549365501546
0.25,131,2.510116906073573,1221.549365501546
0.25,133,2.4499730699890705,932.6415830677215
0.25,144,2.466771161433792,1276.4527170598774
0.25,147,2.4722396088363148,1131.265624904661
0.25,149,2.506229115524109,1011.5574976868554
0.25,161,2.4335080171204786,691.0893013583999
0.25,170,2.458306199754841,843.4026269543824
0.25,176,2.493111574320968,967.6418043681961
0.25,177,2.500977577421696,1086.9875384625257
0.25,178,2.565265984611609,1014.5622034421822
0.25,192,2.4552330689851996,1169.781716851308
0.25,197,2.4621174910346038,1154.6345622103693
0.25,198,2.5321360604146474,654.7296995482451
0.25,200,2.4892821281660806,1185.1378408087205
0.25,214,2.5215777705882996,1327.549100164703
0.25,215,2.510116906073573,1221.549365501546
0.25,218,2.513492438138276,1213.9215871893812
0.25,219,2.4468808441838665,1137.1744433608162
0.25,222,2.2810117191426595,1106.9198406798519
0.25,237,2.4943456507386403,1102.5858798457923
0.25,238,2.459957544761637,1291.3253942661115
0.25,247,2.587481902831964,870.3843132414183
0.25,261,2.5146527637840905,1129.61798671282
0.25,266,2.3834863914055076,1314.2600986448017
0.25,267,2.3940011631945985,1772.7818260038707
0.25,279,2.4976590409500066,1094.8324462771848
0.25,282,2.496471033534426,1034.159033759983
0.25,287,2.46888846547524,1139.1457230419946
0.25,295,2.386733737296674,631.4831433708262
0.25,300,2.493111574320968,967.6418043681961
0.25,301,2.3464923311815307,1231.03418268265
0.25,303,2.511937806077248,600.932810779365
0.25,313,2.4236615583220447,1234.2713837297717
0.25,322,2.431376653928787,1833.5785761288757
0.25,328,2.2574712618700254,1018.1084461838539
0.25,333,2.4012724083691124,1288.1675026333362
0.25,336,2.44785282901544,1077.765395042849
0.25,338,2.3643571239073014,1010.1452565299887
0.25,346,2.500977577421696,1086.9875384625257
0.25,347,2.4306780776365073,1026.8275523760547
0.25,349,2.380601500449583,1312.0969918379476
