observations,centile,WM-hypointensities
1014,0.05,830.9112269193872
1014,0.25,1174.9321825191294
1014,0.5,1414.0575394734255
1014,0.75,1653.1828964277222
1014,0.95,1997.203852027466
1015,0.05,835.038974068222
1015,0.25,1175.56247289356
1015,0.5,1412.256784337404
1015,0.75,1648.9510957812504
1015,0.95,1989.4745946065884
1016,0.05,814.3300064371117
1016,0.25,1194.6926097898743
1016,0.5,1459.0786648202454
1016,0.75,1723.4647198506166
1016,0.95,2103.827323203377
1018,0.05,676.7736370603943
1018,0.25,1242.7285916681553
1018,0.5,1636.1179429206124
1018,0.75,2029.5072941730677
1018,0.95,2595.462248780831
1019,0.05,894.4406201069146
1019,0.25,1396.0935580826826
1019,0.5,1744.7872521964625
1019,0.75,2093.480946310245
1019,0.95,2595.133884286014
102,0.05,59.476601153788806
102,0.25,450.78001564271335
102,0.5,722.7709137087155
102,0.75,994.76181177472
102,0.95,1386.0652262636431
1020,0.05,548.7920196667616
1020,0.25,1212.3599616642723
1020,0.5,1673.599076348315
1020,0.75,2134.838191032358
1020,0.95,2798.406133029871
1021,0.05,843.7147003603686
1021,0.25,1181.659329114775
1021,0.5,1416.5610950284358
1021,0.75,1651.4628609420974
1021,0.95,1989.407489696505
1022,0.05,997.3966685368604
1022,0.25,1335.341297291267
1022,0.5,1570.2430632049272
1022,0.75,1805.144829118587
1022,0.95,2143.089457872994
1023,0.05,821.0888489349495
1023,0.25,1183.2207460655898
1023,0.5,1434.934828467742
1023,0.75,1686.6489108698959
1023,0.95,2048.7808080005334
1026,0.05,818.3767782916357
1026,0.25,1158.9002771169733
1026,0.5,1395.594588560818
1026,0.75,1632.288900004662
1026,0.95,1972.8123988299994
1027,0.05,492.0936764199878
1027,0.25,1181.4030863748985
1027,0.5,1660.534825370472
1027,0.75,2139.666564366045
1027,0.95,2828.9759743209506
1028,0.05,565.3828870873712
1028,0.25,909.4038426871127
1028,0.5,1148.5291996414103
1028,0.75,1387.6545565957058
1028,0.95,1731.6755121954493
103,0.05,-9.886431845890229
103,0.25,491.7665061298786
103,0.5,840.4602002436584
103,0.75,1189.1538943574399
103,0.95,1690.8068323332075
1030,0.05,561.8273398726907
1030,0.25,910.6344418632343
1030,0.5,1153.0865989600986
1030,0.75,1395.5387560569636
1030,0.95,1744.3458580475058
1031,0.05,533.1896118253936
1031,0.25,950.020938752443
1031,0.5,1239.7560209290448
1031,0.75,1529.4911031056454
1031,0.95,1946.3224300326979
1032,0.05,533.1896118253936
1032,0.25,950.020938752443
1032,0.5,1239.7560209290448
1032,0.75,1529.4911031056454
1032,0.95,1946.3224300326979
1033,0.05,408.1453716961985
1033,0.25,756.9524736867431
1033,0.5,999.4046307836068
1033,0.75,1241.8567878804715
1033,0.95,1590.6638898710135
1034,0.05,424.504392351863
1034,0.25,762.4490211062692
1034,0.5,997.3507870199293
1034,0.75,1232.2525529335903
1034,0.95,1570.1971816879961
1035,0.05,578.1863605283506
1035,0.25,916.1309892827601
1035,0.5,1151.032755196421
1035,0.75,1385.934521110082
1035,0.95,1723.8791498644894
1036,0.05,574.0641332326683
1036,0.25,912.4826803025027
1036,0.5,1147.7138618651236
1036,0.75,1382.9450434277435
1036,0.95,1721.3635904975802
1037,0.05,544.5933450980867
1037,0.25,935.8967595870108
1037,0.5,1207.8876576530135
1037,0.75,1479.8785557190163
1037,0.95,1871.1819702079401
1038,0.05,569.5106342362083
1038,0.25,910.034133061544
1038,0.5,1146.7284445053892
1038,0.75,1383.422755949234
1038,0.95,1723.9462547745707
1039,0.05,424.3304768750635
1039,0.25,773.4936362871117
1039,0.5,1016.193285162102
1039,0.75,1258.8929340370914
1039,0.95,1608.0560934491386
104,0.05,208.04339369433046
104,0.25,611.5032260289266
104,0.5,891.9439226008533
104,0.75,1172.3846191727785
104,0.95,1575.8444515073747
1040,0.05,420.3821650561764
1040,0.25,758.8007121260114
1040,0.5,994.0318936886324
1040,0.75,1229.2630752512516
1040,0.95,1567.6816223210867
1042,0.05,411.7009189108834
1042,0.25,755.7218745106204
1042,0.5,994.8472314649187
1042,0.75,1233.9725884192144
1042,0.95,1577.993544018956
1044,0.05,574.0641332326683
1044,0.25,912.4826803025027
1044,0.5,1147.7138618651236
1044,0.75,1382.9450434277435
1044,0.95,1721.3635904975802
1045,0.05,411.7009189108834
1045,0.25,755.7218745106204
1045,0.5,994.8472314649187
1045,0.75,1233.9725884192144
1045,0.95,1577.993544018956
1047,0.05,165.71970181159327
1047,0.25,503.66433056599953
1047,0.5,738.5660964796606
1047,0.75,973.4678623933214
1047,0.95,1311.412491147728
1048,0.05,168.74791166071464
1048,0.25,511.7447748915861
1048,0.5,750.1582959845048
1048,0.75,988.5718170774263
1048,0.95,1331.5686803082951
1050,0.05,152.9162283706114
1050,0.25,496.937183970354
1050,0.5,736.0625409246502
1050,0.75,975.1878978789459
1050,0.95,1319.2088534786872
1051,0.05,310.72594369593924
1051,0.25,651.2494425212752
1051,0.5,887.9437539651202
1051,0.75,1124.6380654089653
1051,0.95,1465.1615642343024
1052,0.05,299.8461825145812
1052,0.25,654.6970392250895
1052,0.5,901.3501468199752
1052,0.75,1148.0032544148592
1052,0.95,1502.8541111253674
1053,0.05,161.59747451590465
1053,0.25,500.0160215857421
1053,0.5,735.2472031483625
1053,0.75,970.4783847109827
1053,0.95,1308.8969317808192
1056,0.05,319.40166998808616
1056,0.25,657.3462987424913
1056,0.5,892.2480646561502
1056,0.75,1127.1498305698128
1056,0.95,1465.09445932422
1058,0.05,165.71970181159327
1058,0.25,503.66433056599953
1058,0.5,738.5660964796606
1058,0.75,973.4678623933214
1058,0.95,1311.412491147728
1059,0.05,152.9162283706114
1059,0.25,496.937183970354
1059,0.5,736.0625409246502
1059,0.75,975.1878978789459
1059,0.95,1319.2088534786872
1060,0.05,306.5981965471019
1060,0.25,650.6191521468431
1060,0.5,889.7445091011411
1060,0.75,1128.8698660554373
1060,0.95,1472.8908216551786
1061,0.05,303.0426493324211
1061,0.25,651.849751322964
1061,0.5,894.3019084198274
1061,0.75,1136.754065516694
1061,0.95,1485.5611675072369
1062,0.05,146.1642143380891
1062,0.25,501.01507104860013
1062,0.5,747.6681786434825
1062,0.75,994.3212862383668
1062,0.95,1349.1721429488755
1063,0.05,168.74791166071464
1063,0.25,511.7447748915861
1063,0.5,750.1582959845048
1063,0.75,988.5718170774263
1063,0.95,1331.5686803082951
1064,0.05,310.72594369593924
1064,0.25,651.2494425212752
1064,0.5,887.9437539651202
1064,0.75,1124.6380654089653
1064,0.95,1465.1615642343024
1065,0.05,310.72594369593924
1065,0.25,651.2494425212752
1065,0.5,887.9437539651202
1065,0.75,1124.6380654089653
1065,0.95,1465.1615642343024
1067,0.05,152.9162283706114
1067,0.25,496.937183970354
1067,0.5,736.0625409246502
1067,0.75,975.1878978789459
1067,0.95,1319.2088534786872
1068,0.05,152.9162283706114
1068,0.25,496.937183970354
1068,0.5,736.0625409246502
1068,0.75,975.1878978789459
1068,0.95,1319.2088534786872
107,0.05,862.1910660756695
107,0.25,1224.3229632063105
107,0.5,1476.0370456084631
107,0.75,1727.7511280106157
107,0.95,2089.883025141253
1070,0.05,152.9162283706114
1070,0.25,496.937183970354
1070,0.5,736.0625409246502
1070,0.75,975.1878978789459
1070,0.95,1319.2088534786872
1071,0.05,303.0426493324211
1071,0.25,651.849751322964
1071,0.5,894.3019084198274
1071,0.75,1136.754065516694
1071,0.95,1485.5611675072369
1072,0.05,299.8461825145812
1072,0.25,654.6970392250895
1072,0.5,901.3501468199752
1072,0.75,1148.0032544148592
1072,0.95,1502.8541111253674
1073,0.05,168.74791166071464
1073,0.25,511.7447748915861
1073,0.5,750.1582959845048
1073,0.75,988.5718170774263
1073,0.95,1331.5686803082951
1074,0.05,306.5981965471019
1074,0.25,650.6191521468431
1074,0.5,889.7445091011411
1074,0.75,1128.8698660554373
1074,0.95,1472.8908216551786
1075,0.05,303.0426493324211
1075,0.25,651.849751322964
1075,0.5,894.3019084198274
1075,0.75,1136.754065516694
1075,0.95,1485.5611675072369
1076,0.05,143.0938503861753
1076,0.25,505.2257475168168
1076,0.5,756.9398299189667
1076,0.75,1008.6539123211189
1076,0.95,1370.7858094517583
1077,0.05,165.71970181159327
1077,0.25,503.66433056599953
1077,0.5,738.5660964796606
1077,0.75,973.4678623933214
1077,0.95,1311.412491147728
110,0.05,822.6763919520624
