statistic,WM-hypointensities
MACE,0.041935483870967766
MAPE,2.6566975570304425
MSLL,0.5973500756165337
NLL,0.7784618025768592
R2,0.35416661929666016
RMSE,0.7697161091373342
Rho,0.5270589012415098
Rho_p,2.0283526919724415e-54
SMSE,0.64583338070334
ShapiroW,0.9057660745695922
