statistic,WM-hypointensities
MACE,0.016412213740458002
MAPE,2.4482905780208255
MSLL,0.5673115334255329
NLL,0.8516269997791398
R2,0.4512947901672495
RMSE,0.7407463869859578
Rho,0.48314574265048577
Rho_p,2.124711104878849e-62
SMSE,0.5487052098327505
ShapiroW,0.9790322449902431
