centile,observations,response_var_0,response_var_1
0.05,0,2.472221431076966,881.5766331927214
0.05,1,2.46844027187295,891.6726265379484
0.05,3,2.4807095115043585,998.8974178330143
0.05,4,2.488176255489826,1130.6142567887598
0.05,6,2.4646248380062996,901.5308617879549
0.05,7,2.35100997743108,963.0239974324527
0.05,8,2.3280499180628142,1625.127436448526
0.05,9,2.4646248380062996,901.5308617879549
0.05,11,2.3667364509941127,943.3855011102701
0.05,12,2.3534603219160335,1028.593344286666
0.05,13,2.4607702711972217,911.1604763022328
0.05,14,2.4263746536558277,1112.9869685698561
0.05,15,2.430691707705373,1103.9549588358602
0.05,16,2.539707077253865,736.001810282714
0.05,17,2.372039459633336,1133.695481317863
0.05,18,2.4102192532498816,1073.026631571895
0.05,19,2.3568797359977975,525.2584286753174
0.05,21,2.3051003883393135,1511.0757457660516
0.05,22,2.488176255489826,1130.6142567887598
0.05,23,2.4656345615026702,1037.1252212398242
0.05,24,2.4431805676731697,1075.6786972070406
0.05,25,2.426597693417506,1692.0270989263934
0.05,26,2.472221431076966,881.5766331927214
0.05,27,2.4231571138953925,364.2726312687952
0.05,28,2.5102220204875803,829.9984759944589
0.05,29,2.46844027187295,891.6726265379484
0.05,30,2.4482783675813296,1195.8081763977182
0.05,31,2.3314110034147717,1278.5935485377663
0.05,32,2.5394331527057146,892.1965974232688
0.05,33,2.527876124924478,836.827512503912
0.05,35,2.513043403708108,969.270044739409
0.05,36,2.341135078739101,1874.5384799946191
0.05,37,2.3377928100742578,1268.8460375329958
0.05,38,2.350068132966104,1249.0532615970199
0.05,39,2.2311903594452693,1095.6476947938036
0.05,40,2.389354166833556,1147.506855701048
0.05,41,2.292857094679547,1101.556013296668
0.05,42,2.4807095115043585,998.8974178330143
0.05,43,2.2851819515817877,1109.0284693040476
0.05,45,2.4792565654937304,569.2722577118976
0.05,48,2.4568716458897195,920.57086639708
0.05,49,2.4178564819773003,828.1716964494624
0.05,50,2.430691707705373,1103.9549588358602
0.05,51,2.4891351698963238,1259.2746047622034
0.05,52,2.3534858051343694,821.4775894653699
0.05,54,2.4694480610096914,1027.879345572764
0.05,55,2.4349282782109847,1094.730964182833
0.05,56,2.2219627472797385,1405.5751973120716
0.05,57,2.444260758554838,1205.3191880311979
0.05,58,2.430691707705373,1103.9549588358602
0.05,59,2.4646248380062996,901.5308617879549
0.05,60,2.39452862183651,1141.0688253116455
0.05,62,2.4844524725677615,1139.7888058501205
0.05,63,2.4274997414949167,1241.5948551876963
0.05,64,2.421971908851986,1121.8345140948716
0.05,65,2.517303155388229,950.0561310241935
0.05,66,2.46844027187295,891.6726265379484
0.05,67,2.4891351698963238,1259.2746047622034
0.05,69,2.43086649174997,1252.7221844995759
0.05,70,2.505997402280639,980.9601559763671
0.05,71,2.465805615724029,585.7468279384162
0.05,72,2.4349282782109847,1094.730964182833
0.05,75,2.4263746536558277,1112.9869685698561
0.05,76,2.5396586534756684,783.6869290737825
0.05,80,2.3992314702378805,929.1544207003734
0.05,81,2.403895689344844,870.9569166388807
0.05,82,2.389354166833556,1147.506855701048
0.05,83,2.4812143438474084,571.8752654450237
0.05,84,2.4390895270100668,1085.3077935992956
0.05,86,2.4952722233789792,686.7356653202922
0.05,87,2.4482783675813296,1195.8081763977182
0.05,88,2.350068132966104,1249.0532615970199
0.05,89,2.4694480610096914,1027.879345572764
0.05,90,2.4231111110975254,1250.2510727293184
0.05,91,2.4751476288875303,1065.6554868440562
0.05,92,2.46844027187295,891.6726265379484
0.05,93,2.4646248380062996,901.5308617879549
0.05,94,2.365086252474071,1010.8921363449672
0.05,96,2.4928549378945806,1250.115888567387
0.05,97,2.3280499180628142,1625.127436448526
0.05,98,2.473228535154357,1018.4309911415037
0.05,100,2.4263746536558277,1112.9869685698561
0.05,101,2.4656345615026702,1037.1252212398242
0.05,102,2.111822514899615,1190.8015765275568
0.05,103,2.523792821016929,826.9577040875145
0.05,105,2.5274517895279187,858.769515097285
0.05,107,2.4891351698963238,1259.2746047622034
0.05,108,2.5147579632321264,694.7716564769189
0.05,109,2.477183790168285,1060.9977123298054
0.05,110,2.4646248380062996,901.5308617879549
0.05,111,2.394558504544225,883.3799127962018
0.05,113,2.46844027187295,891.6726265379484
0.05,114,2.4539469331813937,1063.7264542329099
0.05,115,2.4656345615026702,1037.1252212398242
0.05,116,2.4878634486702964,1105.1846474081078
0.05,117,2.4844524725677615,1139.7888058501205
0.05,118,2.4274997414949167,1241.5948551876963
0.05,119,2.1934701163018984,1287.376762314618
0.05,121,2.430691707705373,1103.9549588358602
0.05,122,2.4844524725677615,1139.7888058501205
0.05,123,2.4252682746261462,1536.8163096724084
0.05,124,2.4928549378945806,1250.115888567387
0.05,125,2.375269037880593,1141.324259330024
0.05,127,2.5398137073940616,804.1464509209004
0.05,129,2.3706794238726996,1001.8254035499974
0.05,130,2.436028585720831,1223.7995041432991
0.05,131,2.4844524725677615,1139.7888058501205
0.05,133,2.4223496370503645,830.892797369384
