observations,response_var_0,response_var_1
0,-4.562951354365027,-3.62180561498938
1,-0.21922488071062665,0.7675120929333621
2,-0.7347506244340399,0.5409030812476621
4,1.8565761036977626,-2.3106941710450033
5,0.8764918357811641,2.753984870765094
7,1.481009400579237,4.599215309838843
8,0.008390855179149032,-1.1028657780567388
9,-1.1058477761934518,-2.2695346760583366
10,0.3263249212505502,0.11629925766496384
11,-0.2375463008512043,5.0001923668510075
12,2.005774929357695,-2.0184346185747137
14,1.2473252643485533,-0.5055087344112242
15,-1.1232917001952047,-1.4657474880783803
16,4.419999379900875,8.034628711446473
17,-0.40417497262758306,4.444853061533774
18,-3.1808405103926267,2.152478797974468
20,0.3273347035663499,-2.4665644893590972
23,-0.8183464901134605,-0.8059647082186236
24,0.8475673730884025,-0.3329782170992675
29,-1.0462832586228799,-3.009164991141649
30,4.1138096425405095,-1.0642403002978247
31,-1.2193206860425134,1.6195434156494766
32,3.4397009635066347,-2.878696963670694
34,-2.181210834965814,-1.8470259826071582
36,-2.5982649442137946,-0.781001046990158
37,0.07103472768740512,-4.418348621809241
38,1.5904064595493794,6.1178648952895545
41,1.182755571316368,3.200716715672215
43,3.7567007984236636,3.31639218711949
44,0.6279095125452966,0.3391188757618985
45,0.09467823996137542,-1.9617592415972451
46,-2.3293675438124817,-3.8058692959683653
47,1.7422809794409884,-1.0226863615511665
48,1.056571824434612,3.318584737938146
49,-1.8259970763597244,0.14657286422240168
50,-0.7783930875626595,0.2092747275235163
51,2.9202852991764185,7.773562354015195
52,-1.1187732530524166,-0.3574927911686865
53,-1.961775226026946,0.04298039349429025
55,-1.6664382416743486,-1.0741041335936965
56,0.6288675767847739,-0.8213606735414344
57,2.4986267650397322,-2.448222700594896
58,-3.331160129272949,2.4448217966110333
59,3.6788628727317723,-0.420651759890564
61,-2.8665746466510984,-1.559466156402928
62,0.36790750866820693,2.554900795437661
63,-1.1615788390783197,-0.35592968478984716
64,-1.4425211458443756,-3.3910443794927017
65,1.1269145358631996,0.8289725996691814
66,1.743346754617798,-0.9240656110597217
68,-2.4856066747017316,11.818804465756386
70,0.26527988030418187,-2.5364416360417135
71,0.45396538520570334,-0.7360718785541805
72,-1.1319007002286032,-0.2886365746633473
73,-1.7392068573223796,2.096611329415298
74,-0.35686542897719664,-1.3488788096931148
75,3.0318894562463106,-0.3243233444078889
76,-1.172235046809333,-3.0388370263610653
77,-0.2811218351748378,3.248335864380831
78,-1.8537153009518585,0.24987709009062245
79,4.255553814238541,-0.6798381271442212
80,1.8694723603678638,1.4143026348468775
81,-3.5084055677333144,0.9691751217616494
83,-3.423534147675552,2.976841596575022
84,4.171246572014457,1.430588774156835
85,-2.8237424473714348,0.8109471500529399
87,2.221290541097799,4.001251801408285
88,-0.8956586044846014,3.64274351468003
89,-1.99821201299018,-3.9424726210388443
90,1.1635295425473196,-2.570124514006395
91,0.25142783146263886,3.2685257637392864
92,4.436970291291077,-0.09722409171071446
93,3.828655795113255,4.39957247570853
94,3.667955271077491,-2.2004302482146167
95,0.9209932843729659,1.2726038424663675
96,2.1438242034539976,-6.894881822547228
97,-1.2436982389693634,-1.1534268109707435
98,-3.9693376523147523,4.507197722179896
99,-1.9697689026434626,-2.9428788837561273
100,-2.784070663182054,-1.7292902711437241
102,-1.4442755961063467,-0.6110635098961742
104,-3.570864517051035,-2.558470199912706
105,0.8541273478842056,-3.6372394794714835
106,-4.391675270265266,6.686873217127449
108,-2.3450685578093733,0.7922673716510414
109,-2.5801577525514516,-2.7644861663126545
110,-1.3370075439021463,-4.765320891628695
111,-3.643425347812276,-1.7691375774379543
112,4.4463485977863835,-2.337661521623173
113,4.948907649056876,-1.2244884766396453
114,0.4038437032418561,-1.5099080253828696
115,2.9990101196471044,-4.907235208791392
117,2.616372939531868,0.7350848085504833
119,-0.7624430127124003,7.583446836860579
120,-1.1557981949838858,-1.6557603690544607
121,-1.5035567027474346,-2.4501446212177442
122,0.6211219253901454,-2.545494741036567
124,2.158298193975183,0.839936934938375
125,-0.23174668893416953,-0.35236980316921684
126,-1.4675578948057966,-1.7197984487284146
127,3.963249079909417,0.5327680901575887
128,3.8472094052026473,7.424596635678039
130,1.5318033642668336,0.7604790621038604
131,-1.3788691111315348,2.191827786133235
132,-2.2620401026960177,7.701818421295377
133,-0.8057829127713173,-0.9750226661622916
136,3.3275033299889922,4.874956642193627
137,-4.646343693338026,4.670520467738606
138,0.2275050428061795,0.8178247690065807
139,0.5898102633044264,0.8051735472852086
141,-1.1892708873373674,-3.0521664274342486
142,2.5735697694830155,2.0959247346195893
144,-0.467391554940714,1.7798668784064409
