observations,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
0,-0.24822134511894656,-1.2528805275594688,-2.8094476565585182,-1.8866523461050964
1,-0.9184316797905637,-1.3394199043852115,-1.039778789194515,-0.5340605167909809
10,-0.7793427026359819,-0.4912293708626426,-0.6893994914904894,-1.0418205776140388
100,-0.23295742911755934,-1.1234050516127059,-0.5446241464690043,-1.2134175518644903
1001,-0.3332176486488512,-0.6424968993623948,-0.626336872376836,-1.0561070185770607
1002,-0.2657555679111183,-0.6472652818688398,-0.8702426315843467,-1.1924093984171895
1004,-0.3925774164313829,-0.9973470064132509,-0.5343955806380127,-1.1118428920460608
1005,-0.35369264775654097,-0.5455208877762905,-0.6174245740002293,-0.497343518368102
1006,-0.39029862908502055,-1.264088551528776,-0.5493559321630629,-0.8912968277746657
1007,-0.37939114517952555,-0.9152352591521592,-0.9063185118720924,-1.5071273968683707
1008,-0.963184013326344,-0.9345523050450845,-0.7153944861841834,-0.6899907307035862
1009,-0.2632896803737579,-1.2066639665810643,-0.6367339593536148,-1.077404843526574
101,-0.17214841388998137,-0.9552075524129706,-0.8974300488059579,-0.6512299737064673
1010,-0.46156139532275775,-0.7058390786402031,-1.0943146276856055,-0.5917938447626104
1011,-0.3379624239285366,-1.3485907455834458,-1.094636647573982,-0.5959996033328367
1012,-0.3630076930788515,-1.5404202653673011,-0.6407612188942517,-1.0699487436242112
1013,-1.1958098977647602,-0.6236535101853607,-0.7067602349610479,-0.9146148659364769
1014,-0.1880144385507918,-5.9647715495831415,-0.6825727449210166,-0.5800610783007959
1015,-0.613014752933835,-0.6293089839217589,-0.8839077083476281,-0.5083018949703938
1016,-0.7422962447182473,-0.5327748066561163,-0.6763483398154999,-0.84523391621698
1017,-0.5355037971192625,-1.8804600337631783,-0.8146964791282914,-0.7754040744996665
1018,-1.6035485926751416,-1.2987931756118245,-2.4902837792672483,-0.6025149718728777
1019,-0.7810877961095887,-1.161065757358827,-0.5244665416308874,-1.0163815066995925
102,-0.28086202096689683,-1.1058738345845958,-0.5897584975438948,-1.1098814798180403
1022,-0.20316238419022015,-0.812194818615619,-0.8476187461776912,-0.4944985314051896
1024,-0.2966307410681783,-0.9976933608946437,-0.6732989428605043,-0.5218388539831929
1025,-0.35107555440637217,-2.362993310157437,-0.8391041396471773,-0.6375438666269762
1026,-0.36702041652548734,-2.345531351791693,-0.7794977869441073,-0.8857302405971661
1028,-0.5139906542423113,-0.9099843757861705,-0.6039317816209843,-0.6088564837327548
1029,-0.29835009225641307,-0.8060720790891583,-0.7143189255387041,-2.4327504149763417
103,-0.43651541756283874,-0.7661773201110087,-1.0817471421644467,-1.1363984435425902
1030,-0.2588951240553867,-0.7514870808184596,-1.0282135928956584,-0.5435228539052892
1031,-1.0353293260564094,-0.8589036951969219,-0.5600997255791034,-0.5052321799459355
1032,-0.30447738169815963,-1.074519364746913,-0.5728027987843487,-0.5438615962277502
1034,-0.11913686485953301,-0.9799714700090406,-0.8115478606731046,-1.1502097817097523
1035,-0.11453883809519483,-1.0701275750053685,-0.5984645731275681,-0.8950956302428655
1037,-0.9232983586075098,-0.7538654053036825,-2.288996988260608,-4.38811071881411
1038,-0.18498789245768665,-1.5344871176647734,-0.5525094901111391,-0.681901285980966
1039,-0.5069997383919913,-0.6115372164622026,-0.6518838537244506,-0.4499529177013634
104,-0.3168126131708726,-0.5152686038575395,-1.1637296259541743,-0.593340871326982
1040,-0.3497069696405053,-0.9148657460659719,-0.7034816738892018,-0.6524046486628208
1041,-0.5820438461130452,-0.925393214523434,-0.5464666893190088,-0.5303717023923121
1042,-0.6167171901524379,-0.5046789992031642,-1.0334815239722277,-0.6358185792351853
1044,-2.664865754713982,-0.4763166157678601,-0.6226589718581197,-0.8629043839532247
1045,-0.22484661857818278,-4.221013628316456,-2.4448521773209477,-0.6634678670905639
1047,-0.8718193921095458,-1.0317563495024067,-0.5975446499131137,-0.44792722422332754
1048,-0.1697391456093882,-1.2378631222437162,-1.5898741677057708,-0.6484931914013091
1049,-0.662712111911946,-0.45446492025804774,-0.5416922685763162,-0.6329327579642747
