observations,centile,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
1010,0.25,1178.3982600932902,4156.1959576296995,1264.9518489967804,391357.1332194663
1010,0.5,1513.6458534432654,6020.869120119669,1418.9842109029132,424602.5906382371
1010,0.75,1886.154949513516,7840.437794203733,1549.0132913003458,452662.58625705395
1010,0.95,2601.053296251637,11209.468341454536,1710.5425822283485,486964.29678543983
1011,0.05,660.373775479681,1267.9693293007367,954.4284775299354,349645.9276135912
1011,0.25,1121.4178052786715,4267.257378968918,1237.781316540404,403758.92156165314
1011,0.5,1413.3804915828262,5998.732005058434,1397.8350682544487,434553.38778336684
1011,0.75,1721.9063651053905,7686.5351085842185,1532.454969868876,460712.9397299162
1011,0.95,2268.232425977417,10691.542341945002,1697.5515549312775,493606.81604973704
1012,0.05,661.230899069397,976.1868666948221,981.3400343042226,338606.9573800424
1012,0.25,1158.6048153195495,4163.947547342321,1257.0906180499073,395438.2931695718
1012,0.5,1476.3879327369805,5979.559088861373,1412.8826920685149,427824.7387375594
1012,0.75,1822.5982599892282,7745.009308772704,1544.2451543137909,455212.90757631214
1012,0.95,2466.7020916978536,10948.343581796678,1706.8012925551411,488974.46239553875
1013,0.05,683.6732806665451,1357.5909360542028,909.1591370265971,382947.9501631792
1013,0.25,1073.665754298321,4110.818120203761,1207.7331601270962,429425.42468432605
1013,0.5,1320.3612453878952,5714.450304923193,1376.0258025230269,455886.40477506735
1013,0.75,1570.9070441714705,7245.061127659159,1516.8805408780497,479047.16000337194
1013,0.95,1980.8428514298205,9777.647044145453,1687.471891413431,510966.6368459356
1014,0.05,664.3028989196204,1504.5923771825564,919.6099990743961,369394.490009345
1014,0.25,1080.129867091886,4303.21127804463,1213.7135349929904,418936.5980077485
1014,0.5,1342.0851705593348,5938.4522799208,1379.6990210564666,447089.1529715837
1014,0.75,1610.4775852229907,7525.834782876606,1518.851664048152,471332.7675992027
1014,0.95,2059.5293606896,10259.638791827323,1687.781400937268,503325.5929641055
1015,0.05,667.6448388411358,1492.7825300815894,916.7332259428731,372657.5415164293
1015,0.25,1077.0195357661446,4273.970951513728,1211.9556454039234,421453.3374472066
1015,0.5,1335.0393068199364,5899.046475235517,1378.5294138438526,449186.7035445011
1015,0.75,1598.6435614945865,7471.713550413522,1518.1209673101025,473148.2474291279
1015,0.95,2036.8700240102357,10157.887245663003,1687.4646471380036,505075.1813514711
1016,0.05,659.3462711382958,1375.6701183367095,942.8851162264332,354740.9629074758
1016,0.25,1107.165473253171,4306.524320933982,1229.6110654961485,407659.5453774609
1016,0.5,1389.9681000182345,6006.9925582574015,1391.5472355892116,437754.55866240675
1016,0.75,1685.6776522969421,7666.222962682514,1527.6105455883019,463387.82409247645
1016,0.95,2199.945094551954,10600.748080482263,1693.8826916792934,495971.24027404375
1017,0.05,659.196511222002,1420.7304871051492,937.3736178701713,357448.18283224484
1017,0.25,1100.5665090170623,4320.185666711682,1225.7491800351452,409739.10391584114
1017,0.5,1378.9988660767622,6006.070880270886,1388.6019723219815,439468.33102340484
1017,0.75,1668.7427527685659,7651.145103651259,1525.3679869262064,464831.0823627468
